Author,Rating,Review,Restaurant,Location,Label,Language
Peter Wong,1,"The first time I tried the Angus steak it was fantastic. Today I order Angus sirloin steak. It was horrible and tasteless. I changed and ordered Angus Tenderloin, it was as bad. It was like tasteless and without seasoning. I complaint to",Pampas Sky Dining Steakhouse,Melaka,Negative,English
Nijey Chong Kwong Li,2,"Pricey. And this shop dont even offer Boostpay, Sarawakpay or even pay by card. 😥😥",Tok Janggut Cafe (Beryani),Kuching,Negative,English
Soo曉雯,5,"Quality food, nice display of food. Friendly staff.",Mok Mok Brunch & Bistro,JB,Positive,English
Darius Lim,4, Alam sekitar yang baik tetapi harga meningkat. Harga telah meningkat.,越南小廚 V NAM KITCHEN,Ipoh,Positive,Malay
Jay Ng Yap Joo,4,"Nice Thai food in kch, draft beer, variety choice of wine and liquor.",Cha bo,Kuching,Positive,English
Shekhar S B,4," Saya telah menikmati rotis, sweets dan teh masala. Samosas tidak sedap. Goreng tadi dan disimpan, agak menggelegak!",J.H. Lovely Sweets (North Indian Vegetarian),JB,Positive,Malay
EJ Cheong,3, Purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata.. purata..,Tasixi Hong Kong Dim Sum,JB,Neutral,Malay
Kenny Ganie,5,"Halal dimsum, yet many Chinese visit this place. If you come to this place now, you will get a RM10 voucher, with validity between 1/3 to 30/4/2021.",Canning Dim Sum,Ipoh,Positive,English
Nisa Ali,5,"everything was absolutely perfect! thank you for all the crew for having us. also this is one of a perfect place to celebrate your beloved's birthday! thank you soo much from us😍.  ( this is a non paid review, it was sincerely from my heart.)",Miker Food,Ipoh,Positive,English
kin wai wong,5," Di Hong Kong, tidak ada makanan untuk dimakan yang sedap seperti ayam ayam. Di Hong Kong, tidak ada makanan yang boleh dimakan.",Nasi Ayam Hoe Kee,Melaka,Positive,Malay
Alvin Esnen,4,It could've been a 5 star but the pork ribs are not what they use to be,Howdy Grillhouse,Kuching,Positive,English
A Hafis A Rashid (GAming RYder),5,Daammnnnn.. Best beriayani ever in kuching..,Tok Janggut Cafe (Beryani),Kuching,Positive,English
peggy loh,4,otah taste so originalsStill nice as before,"Storia Cafe 【士多利茶餐室】Nasi Lemak,Mee Siam,Otak Otak",JB,Positive,English
RAFIQAH NUR RAMLAN,5,Amazing food!  Love the environment!  Must try the nutella red velvet cake,Big Food F&B - Taman Nong Chik,JB,Positive,English
Nuraini Nasir,4, Perkhidmatan yang baik.. Pelayan Chandra sebenarnya seorang Muslim Indonesia yang mengesyorkan kita mengambil Gobi Manchurian daripada bhendi 65 kerana dia mengatakan bhendi sudah berada di dalam kari kepala ikan.. Dan dia juga mengesyorkan untuk mengambil nasi Basmathi daripada steam rice seperti yang berlaku dan rasanya lebih sedap dengan kari.. Sedap........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................,7 Spice,JB,Positive,Malay
Muslim Munir,4,Great food and environment 👍,Flowers in the Window,JB,Positive,English
Lau Francis,4,Excellent food and good service,The Mandarin Restaurant,Kuching,Positive,English
Ganesan Ramasamy,5,Recommended.,Chakra Restaurant,JB,Positive,English
Guat Kee Ang,5," Makanan ""pan mee"" yang paling sedap di Kuching adalah ""pan mee"" yang paling sedap.",Shan City Kopitiam,Kuching,Positive,Malay
Zhihan Yeo,2," Kajian tentang suasana hanya, tidak dapat mencuba makanan. Bahagian dalamannya jauh lebih gelap dan sempit daripada yang dijangkakan. Mungkin hanya orang ramai pada hari itu. Selain itu, mereka mempunyai masalah yang agak serius dengan lalat rumah. Tidak membantu dengan suasana. Kiri tanpa memesan. Kiri tanpa memesan. Kiri tidak membantu. Kiri tanpa memesan. Kiri tidak membantu. Kiri tanpa memesan. Kiri tidak membantu. Kiri tidak membantu. Kiri tidak membuat pesanan. Kiri tidak membantu. Kiri tidak membantu. Kiri tidak membuat pesanan. Kiri tidak membantu. Kiri tidak membuat pesanan. Kiri tidak membantu. Kiri tidak membuat pesanan. Kiri tidak membantu. Kiri tidak membuat pesanan. Kiri tidak membantu. Kiri tidak membuat pesanan. Kiri tidak membantu. Kiri tidak membuat pesanan. Kiri tidak membantu. Kiri tidak membuat pesanan. Kiri tidak membantu. Kiri tidak membuat pesanan. Kiri tidak membantu. Kiri tidak membuat pesanan. Kiri tidak membuat pesanan. Kiri tidak membuat pesanan. Kiri tidak membuat pesanan. Kiri tidak membuat pesanan. Kiri tidak membuat pesanan. Kiri tidak membuat pesanan. Kiri tidak membuat pesanan. Kiri tidak membuat pesanan. Kiri tidak membuat pesanan. Kiri tidak membuat pesanan. Kiri tidak membuat pesanan. Kiri tidak membuat pesanan. Kiri tidak membuat pesanan. Kiri tidak membuat pesanan. Kiri tidak membuat pesanan. Kiri tidak membuat pesanan. Kiri tidak membuat pesanan. Kiri tidak membuat pesanan. Kiri tidak membuat pesanan. Kiri tidak membuat pesanan. Kiri tidak membuat pesanan. Kiri tidak membuat pesanan. Kiri tidak membuat pesanan.",The Replacement - Lodge & Kitchen,JB,Negative,Malay
Milya Minnelley Martin,4, Pusat membeli-belah ini sangat baik secara keseluruhan tetapi tandas kotor. Itulah satu-satunya kelemahan yang saya katakan. Itulah satu-satunya kelemahan yang saya katakan.,The Spring,Kuching,Positive,Malay
Jafni Ahmad Baki,5,"It was delicious, the lady was even sodap .. Expensive skit jo",Noah Art Cafe,Melaka,Positive,English
JX Ng,4,excellent choice for lunch and dinner.,The Spice Kitchen,JB,Positive,English
Eugénie Samour,5,"Excellent Indian restaurant, we feasted. Far from the center of Ipoh but it's worth the trip.",Tandoor Grill,Ipoh,Positive,English
Alex Foxe,5,"This cafe has the best popia in town, and a nice laksa to eat!",Choon Hui Cafe,Kuching,Positive,English
Danielle Tan,4,Really not too bad. Very reasonable price and decent peranakan food. Tried quite a few highly raved restaurants in Malacca. Classic Nonya beats them hands down with fresher ingredients 👍,Classic Nyonya Restaurant,JB,Positive,English
Cheri Ophelia,3," Makanan sedap dan harga juga ramah, sejauh ini adalah restoran sushi terbaik yang pernah saya lawati dan saya tidak ragu-ragu akan datang lagi :) Walau bagaimanapun, saya rasa pekerja-pekerja agak sejuk kadang-kadang dan saya rasa mereka tidak senang apabila saya memanggil mereka untuk meminta makanan mereka, tetapi saya merasa tidak senang apabila saya memanggil mereka untuk meminta makanan mereka. Saya merasa tidak senang apabila saya memanggil mereka untuk meminta makanan mereka. Saya merasa tidak senang apabila saya memanggil mereka untuk meminta makanan mereka.",Sushi Mentai,Kuching,Neutral,Malay
Melvyn Teo,4,Don't forget to order the Tiramisu... must try ...probably the best Tiramisu in Johor,Coppola Pizza Restaurant,JB,Positive,English
June Loke,1,Bad service preformed.,Padi House Greentown Ipoh,Ipoh,Negative,English
TX Z,3,"Decent environment to chill. Tried their cake and coffee. Cake slice could be bigger, coffee could be more.  Price is not on the value side.",Chop Tiang Bee Cafe,Melaka,Neutral,English
Oliver Lee,5,Good noodles,Ipoh Tuck Kee Restaurant 德记炒粉专门店,Ipoh,Positive,English
mknace unlimited,5,"Perghhh. It's just fine. From a distance, people can see that they have a lot of people. Looking ahead. Abam sumam call. Just change your name first. Ready to change how many. He'll arrange for a vacancy later. In the",Miker Food,Ipoh,Positive,English
Wyyippy Py,4,"This food court place 阳春台consisting of the coffee shop and the covered lane between two blocks of shop. The main store in the shop is kueh chap ie stew pork, head, skin, intestine etc and the meat ball soup plus pork satay at the covered",Lau Ya Keng Foodcourt 阳春台茶室,Kuching,Positive,English
Wong Max,5,"Good food, reasonable price, clean place.",Tandoor Grill,Ipoh,Positive,English
Irna,4, Saya datang untuk meraikan majlis bachelorette rakan sekerja saya. Makanan yang sedap dan tempat letak. Makanan yang sedap dan tempat letak. Makanan yang sedap dan tempat letak.,UFB-Union Fashion Bar Garden,JB,Positive,Malay
유리이,5, Tempat ini memang kaya toast dan laksa - Sarawak laksa sangat bagus - laksa Sarawak sangat sedap - laksa Sarawak sangat sedap - laksa Sarawak sangat sedap.,Choon Hui Cafe,Kuching,Positive,Malay
Andy Rasdy,5,Best in town,Yalla Yalla Arabic Cuisine Kuching,Kuching,Positive,English
Praveen Praveen,5,Nice,Restaurant Sri Aryaa Bhavan Ipoh,Ipoh,Positive,English
Ben Dhiman,5,Ramen fit for the Gods. If only this level of quality and genial service rubbed off on other food vendors in Kuching. Truly great stuff.,Makino Kochi Ramen Bar,Kuching,Positive,English
Asturias,5," Ordered a feast for 6 at the Ipoh Tuck Kee! We got the War Tan Hor Fan, Yu Kong Hor, Cantonese Fried Yin-Yong, Hokkien Fried Mee Hoon, fried chicken wings, braised beancurd, big plate beansprout, cuttlefish meatballs. We got the War Tan Hor Fan, Yu Kong Hor, Hokkien Fried Mee Hoon, fried chicken wings, braised beansprout, cuttlefish meatballs. We got the War Tan Hor Fan, Yu Kong Hor, Hokkien Fried Mee Hoon, braised beansprout, cuttlefish meatballs. We got the War Tan Hor Fan, Yu Kong Hor, Hokkien Fried Mee Hoon, fried chicken wings, braised beansprout, cuttlefish meatballs. We got the War Tan Hor Fan, Yu Kong Hor, Hokkien Fried Mee Hoon, braised beansprout, cuttlefish meatballs. We got the War Tan Hor Fan, Yu Kong Hor, Hokkien Fried Mee Hoon, braised beansprout, cuttlefish meatballs. We got the War Tan Hor Fan, Yu Kong Hor, Hokkien Fried Mee Hoon, braised beansprout, cuttlefish meatballs. We got the War Tan Hor Fan, Yu Kong Hor, Hokkien Fried Mee Hoon, braised beansprout, cuttlefish meatballs. We got the Fried Mee Hoon, braised beansprout, cuttlefish meatballs. We got the War Tan Hor Fan, Yu Kong Hor, Hokkien Fried Mee Hoon, braised beansprout, cuttlefish meatballs. We got the Fried Mee Hoon, braised beansprout, cuttlefish meatballs. We got the Fried Mee Hoon, Braised Beansprout, Cuttlefish Meatballs. We got the War Tan Hor Fan, Yu Kong Hor, Hokkien Fried Mee",Ipoh Tuck Kee Restaurant 德记炒粉专门店,Ipoh,Positive,Malay
J T,3, Tempat yang baik untuk membeli-belah di tempat yang baik.,Rainforest Garden Cafe,Kuching,Neutral,Malay
Zuhairi Syed (Aery),5,Excellent in service.. Great food..,Greentown Dimsum Café,Ipoh,Positive,English
Kenneth Chong,3,Over priced noodles. Curry lamb went up by almost RM5. Go there for the ambience.,人間茶坊之老店 Life Cafe @ Padungan,Kuching,Neutral,English
Jovitha Joseph,1, Tidak menikmati makanan kami di sini kerana perkhidmatan yang tidak mesra. Pasti tidak disyorkan.,Cottage Spices Nyonya Restaurant,Melaka,Negative,Malay
Razak Bin Hassan Razak Scr,5,Ok,Curry House,Kuching,Positive,English
Valor Thng,5,Superb!! Love this bistro! Felt so welcomed when I entered and they’d been greeting every customers consistently. Staff are all so friendly (hopefully not because the boss is there ;p) The unagi bowl is really nice and tasty; they didn’t,Mok Mok Brunch & Bistro,JB,Positive,English
Abby Habibah,5,Nice food .. nice service and nice environment,Lepau Restaurant,Kuching,Positive,English
Hoo Siew,4,"Pusing Public Seafood Restaurant (Mun Choong) Ipoh serves really delicious, flavorful food in huge serving, generous and rich in ingredient.",Restaurant Pusing Public,Ipoh,Positive,English
Loh Erin,4,"Nice food, nice service.",我家餐館Our Kitchen Nyonya Restaurant,Melaka,Positive,English
WD黑块,3,"I ordered fried rice with cheese and ham again, this time it feels weird, and it seems like it’s not fresh",EverGreen Restaurant,JB,Neutral,English
Marcus Leong,5,"Great food and service. Good range of Japanese sake and shochu, authentic japanese food.",Yaoki Japanese Foods Sdn. Bhd.,JB,Positive,English
M Shariful Islam,5,awesome signature dishes,Carvery,Kuching,Positive,English
Sue Roe,5,"Great atmosphere, vibe and food!",KAMPUNG CARABAO 100% Authentic Thai Restaurant,JB,Positive,English
yeo azrul,5, Sangat hebat!,Greentown Dimsum Café,Ipoh,Positive,Malay
thavanesh ananda raj,5,The food over there were best,Kannaa's Bamboo Masalla Briyani,Ipoh,Positive,English
Harith Ruslan,5,Good,ASSAM HOUSE,Ipoh,Positive,English
pro fps116,4,I like the butter crab from No.25 Stall. Recommended,Topspot Food Court,Kuching,Positive,English
Quinby Yeo,5," Suka kek panas, kerak cripsy. Jika hanya yang dipukul sejuk atau ais krim, ia akan mempunyai tekstur yang lebih banyak. Jika hanya yang dipukul sejuk atau ais krim, ia akan mempunyai tekstur yang lebih tinggi. Jika tidak, ia akan mempunyai tekstur yang lebih tinggi.",People & Places Cafe,JB,Positive,Malay
Soo Sian,1,"As ytd I ordered smoke duck breast and there's a dead beetle mixed in my salad (the salad is served together with the duck breast) . And when i told your staff, they brought it bck to me by changing into a smaller plate instead of giving me what I should have received. Nice ambience but food wise is kind of disappointing.",IZAKAYA Japanese Restaurant,Kuching,Negative,English
vijay krishna,4,Great staffs nad friendly aunties. I love the environment and ambience.Lots of antiques and green lush plant set up.Tasty dishes too. Recommended asian Thai dishes and clean environment,Yum Yum Restaurant Ipoh,Ipoh,Positive,English
Intan Norhuzaimah,5," Sangat sedap, sedap. Waktu puncak semasa waktu makan tengahari. Cadangkan untuk datang lebih awal. Dan makanan akan siap sekitar jam 3.30 petang. Makanan akan siap sekitar jam 3.30 petang. Dan makanan akan siap sekitar jam 3.30 petang. Makanan akan siap sekitar jam 3.30 petang. Dan makanan akan siap sekitar jam 3.30 petang. Makanan akan siap sekitar jam 3.30 petang.",Mat Corner Nasi Ambang,JB,Positive,Malay
Kskok Kskok,4, Harga dan rasa adalah kelas pertama. Harga dan rasa adalah kelas pertama. Harga dan rasa adalah kelas pertama. Harga dan rasa adalah kelas pertama. Harga dan rasa adalah kelas pertama.,Restoran Sin Lean Lee,Ipoh,Positive,Malay
The Cyans,2," Saya orang Indonesia. Bagi saya, makanan ini tidak sedap dan mahal. Bagi saya, makanan ini tidak sedap dan mahal. Bagi saya, makanan ini tidak sedap dan mahal.",Restoran Simpang Tiga,Ipoh,Negative,Malay
Louis Hii,5,Nice place for drink,Kyushigai,Kuching,Positive,English
Vella Jeeleryna,5,Good food nice environment,KAMPUNG CARABAO 100% Authentic Thai Restaurant,JB,Positive,English
Vincent Lerouvillois,3,Service was long because we were a large group and it was full house. Wecaleaus had to ask to get water. Food is ok but not exceptional. I have tasted better Italian restaurants around permas jaya but overal ok.,Basilico Restaurant,JB,Neutral,English
hi my,4,"The location is convenient, there is a spacious parking lot, and a variety of tastes are available.",食得福美食中心Cedar Point Food Centre,JB,Positive,English
John Law,5, Tempat yang bagus dan makanan yang disediakan. Tempat yang bagus dan makanan yang disediakan.,Wonderboom,Kuching,Positive,Malay
Hirdayati Muridan,4,Decent foods with good prices,Mamee Jonker House,Melaka,Positive,English
Mohamad Yusoff Abd Rahman (Killswitch),5, Pasta ketam lembut lembut akan mati ♥️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️,STG Tea House Cafe,Ipoh,Positive,Malay
Trickey Lau,5,"The food is delicious, the service is good, the price is reasonable, and the waiters are very enthusiastic, but if you want to eat a buffet, you need to think about it because you will be too full 😂",Carvery,Kuching,Positive,English
Perl Ancar,4,"good price, ok food.",Chimmy Chummy,JB,Positive,English
Hoc Chung,5,His location by the sea has a nice view and the food is delicious.,Tai Son Seafood Restaurant,JB,Positive,English
Ganapathy Naidu,5," Kakitangan yang mesra, Makanan yang sangat baik, pelbagai jenis bir, pelbagai jenis bir, pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai jenis bir. Pelbagai",Rock Bottom Malacca,Melaka,Positive,Malay
Fendy Ahmad,4, Solid Dim Sum .. Harga yang berpatutan .. Anda mesti mencuba chorus Ipoh Ipoh chorus. Anda boleh mencuba chorus Ipoh.,Greentown Dimsum Café,Ipoh,Positive,Malay
piyush kohli,5,Amazing and authentic Punjabi North Indian Food..cant even find such authentic taste in Singapore,Tandoor Grill,Ipoh,Positive,English
Nash XII,5," Saya tidak pernah tahu bahawa sayur-sayuran boleh menjadi sedap sehingga saya datang ke Lepau. Suasana restoran sangat baik dan menenangkan, dan nasib baik tidak ada nyamuk hahaha. Harganya juga berpatutan dengan hidangan yang sedap dan mesra. Ia juga bagus dan mesra, walaupun sesak dengan pelanggan. Walaupun sesak dengan pelanggan, ia juga baik. Harga makanan juga baik, walaupun sesak dengan pelanggan. Ia juga baik. Perkhidmatan yang baik dan mesra, walaupun sesak dengan pelanggan. Ia juga baik. Perkhidmatan yang baik dan mesra, walaupun sesak dengan pelanggan. Walaupun sesak dengan pelanggan, ia sesak.",Lepau Restaurant,Kuching,Positive,Malay
Wei Wei,5,So delicious 👍,People & Places Cafe,JB,Positive,English
Mohamad Firdaus,5, Tidak pernah mengecewakan 👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍,Miker Food,Ipoh,Positive,Malay
Reno Quek,2," Makanan sangat kurang menarik, gerai mi yang menguruskan gerai itu seolah-olah menaikkan suara setiap orang - dan masih salah menerima pesanan.",Lao Tee Kue Teow 大丰老弟,JB,Negative,Malay
Mss Bell,5,"The usual variety of service and food that never disappoints.If you come in the afternoon @ evening, this restaurant has the addition of",Restoran Mee Rebus Ramli @ Taman Tasek Jaya,Ipoh,Positive,English
Nicholas Paul Ting,5,Best Japanese restaurant ever!,Nijyumaru Japanese Restaurant (Sutera Utama),JB,Positive,English
YJ Koh,5,"If you come to Kuching, you definitely should not miss this cafe that offers local favourites in a comfortable setting. We had an amazing meal here - tried the ayam pansuh, midin salad, dayak char siew, tuak (rice wine) with butterfly pea tea, and the 3 layer tea (butterfly pea, milk, caramel). Great food and friendly service.",Pinggai Cafe,Kuching,Positive,English
iris tan,5," Salah satu tiramisu terbaik di JB. Makanan Itali yang autentik, perkhidmatan yang baik, dan suasana yang cantik. Makanan Itali yang autentik, perkhidmatan yang baik, dan pemandangan yang indah. Makanan Itali yang autentik, perkhidmatan yang baik, dan pemandangan yang indah.",Coppola Pizza Restaurant,JB,Positive,Malay
Sean Davey,5,"Incredible nonya laksa for 5 MRY with beautiful hospitality and great deco. Highly recommended when in Malacca. There’s a laundromat a few doors up on the other side of the road, perfect to put a load of washing on, have lunch and the laundry cycle will be done when your lunch is.",Sayyid Antique & Cafe,Melaka,Positive,English
Adam Nazamud-din,5," Kedai roti terbaik menurut saya, Harga, Tempat, dan barang-barang bakeri yang baik Hahaha, haha, barang-barang bakeri yang terbaik. Hahaha, harga, tempat, dan tempat. Hahaha, harga, tempat, dan tempat. Hahaha, harga, tempat, dan tempat. Hahaha, harga, tempat, dan tempat. Hahaha, harga, tempat, dan tempat. Hahaha, harga, tempat, dan tempat. Hahaha, harga, tempat, dan tempat. Hahaha, harga, tempat, dan tempat. Hahaha, harga, tempat, dan tempat. Hahaha, harga, tempat, dan tempat. Hahaha, harga, tempat, dan tempat. Hahaha, harga, tempat, dan tempat. Hahaha, harga, tempat, dan tempat. Hahaha, harga, tempat, dan tempat. Hahaha, harga, tempat, dan tempat. Hahaha, harga, tempat, dan tempat. Hahaha, harga, tempat, dan tempat. Hahaha, harga, tempat, dan tempat. Hahaha, harga, tempat, dan tempat. Hahaha, harga, tempat, dan tempat. Hahaha, harga, tempat, dan tempat. Hahaha, harga, tempat, dan tempat. Hahaha, harga, tempat, dan tempat. Hahaha, harga, tempat, dan tempat. Hahaha, harga, tempat, dan tempat. Hahaha, harga, tempat, dan tempat. Hahaha, harga, tempat, dan tempat. Hahaha, harga, tempat, dan tempat. Hahaha, harga, tempat, dan tempat. Hahaha, harga, tempat, dan tempat. Hahaha, harga, tempat, dan tempat. Hahaha, harga, tempat, dan tempat. Hahaha, harga, tempat, dan tempat. Hahaha, harga, tempat, dan tempat. Hahaha, harga, tempat, dan tempat. Hahaha, harga, tempat, dan tempat. Hahaha, harga, tempat, dan tempat. Hahaha, harga, tempat, dan tempat. Hahaha, harga, tempat, dan tempat. Hahaha, harga, tempat, dan tempat. Hahaha, harga, tempat, dan tempat. Hahaha, harga, tempat, dan tempat. Hahaha, harga, tempat, dan tempat. Hahaha, harga, tempat, dan tempat. Hahaha, harga, tempat, dan tempat. Hahaha, harga, tempat, dan tempat. Hahaha, harga, tempat, dan tempat. Hahaha, harga, tempat, dan tempat.","Panera Caterer (Cakes, Bread, Desserts, Savouries and Danish)",Kuching,Positive,Malay
Azman Mohamad,5,By Muslim for Muslim without a doubt. Fill up your tummy and cleanse your soul.,Mom's Laksa Kopitiam,Kuching,Positive,English
Khairul Azhar,5,"If you stop in Johor Bahru and want rice mixed with Kelantan cuisine. Here's the place, open 24 hours. Parking is a little difficult. The price is reasonable",Warung Pokok Cherry,JB,Positive,English
Kin Man Yiong,5,Food Nice,"HoMinSan 好面善 @ Paradigm Mall, Johor",JB,Positive,English
Phoebe YLM,5,"Good Chinese restaurant, chef is creative with dishes. Highly recommended",KS Treasures Restaurant,JB,Positive,English
Foo Meh-e,5,"I loved this place! Everything's here are great, from the environment to the services. I couldn't describe cause I cam here unexpectedly though.",Tosca Italian Trattoria,JB,Positive,English
Tze Kheong Chooi,3,Decent Ipoh dim sum reasonable price and good selection,Chef Fatt Restaurant,Ipoh,Neutral,English
Ak Raj,4,Big potion of Briyani. Mutton was nice 👍🏼. Full of spices. Truly authentic indian food.,Village Briyani Cafe,JB,Positive,English
